ID_Cliente,Nome_Cliente,Segmento,Porte,Data_Contrato,Data_Servico,Tipo_Servico,Valor,Status_Pagamento,Responsavel,NPS,Custo_Operacional,Margem_Lucro
Cliente_52,Oficina Mecânica Rápida,Alimentação,Pequeno,2021-07-24,2023-03-21,Balanço Patrimonial,930.07,Pago,Pedro Martins,9,392.32,57.82
Cliente_1,Laboratório Farmacêutico,Serviços,Pequeno,2021-07-17,2023-03-31,Consultoria Tributária,1415.32,Atrasado,José Pereira,10,761.61,46.19
Cliente_95,Joalheria Brilhante,Alimentação,Grande,2022-11-13,2023-05-05,Imposto de Renda PJ,15338.35,Pendente,Carlos Oliveira,9,5635.19,63.26
Cliente_26,Restaurante Sabor,Serviços,Pequeno,2023-07-09,2023-12-06,Folha de Pagamento,479.91,Pendente,Maria Santos,8,247.4,48.45
Cliente_50,Loja Fashion,Alimentação,Grande,2021-11-25,2024-09-02,Regularização Fiscal,9025.63,Atrasado,Carlos Oliveira,10,3300.24,63.43
Cliente_90,Pizzaria Delícia,Tecnologia,Pequeno,2020-02-18,2023-01-13,Planejamento Tributário,1083.6,Atrasado,José Pereira,9,633.92,41.5
Cliente_57,TechSolutions Ltda,Alimentação,Médio,2022-07-20,2025-05-18,Regularização Fiscal,6495.99,Atrasado,Fernanda Lima,8,3585.52,44.8
Cliente_36,Transportadora Entregas,Serviços,Pequeno,2022-09-22,2024-11-14,Demonstrativo de Resultado,1290.98,Atrasado,Carlos Oliveira,9,733.16,43.21
Cliente_11,Borracharia Pneus,Serviços,Grande,2021-08-23,2022-06-02,Declaração IR,13215.3,Atrasado,Roberto Alves,10,4211.45,68.13
Cliente_54,Restaurante Sabor,Financeiro,Grande,2020-01-31,2022-04-07,Demonstrativo de Resultado,15716.8,Atrasado,Carlos Oliveira,9,6123.01,61.04
Cliente_50,Loja Fashion,Alimentação,Grande,2021-11-25,2024-04-01,Balanço Patrimonial,13540.66,Atrasado,Carlos Oliveira,7,5641.81,58.33
Cliente_86,Hotel Conforto,Alimentação,Pequeno,2021-01-02,2024-10-23,Demonstrativo de Resultado,1126.48,Atrasado,Roberto Alves,10,537.97,52.24
Cliente_85,Fábrica Laticínios,Entretenimento,Pequeno,2021-04-29,2021-06-23,Contabilidade Fiscal,1332.44,Atrasado,Maria Santos,9,534.64,59.88
Cliente_49,Churrascaria Fogo,Construção,Grande,2020-04-20,2021-11-10,Demonstrativo de Resultado,14596.82,Atrasado,Carlos Oliveira,9,5360.93,63.27
Cliente_9,Borracharia Pneus,Serviços,Médio,2021-12-05,2022-02-25,Demonstrativo de Resultado,3089.23,Atrasado,Fernanda Lima,7,1449.44,53.08
Cliente_28,Borracharia Pneus,Agronegócio,Médio,2022-12-19,2024-04-08,Escrituração Contábil,3055.34,Pendente,Fernanda Lima,8,1800.87,41.06
Cliente_14,Imobiliária Casa Nova,Alimentação,Médio,2022-07-17,2022-09-07,Consultoria Tributária,9254.14,Atrasado,Roberto Alves,8,3059.14,66.94
Cliente_99,Fábrica Laticínios,Educação,Grande,2020-09-12,2022-05-22,Consultoria Contábil,19699.8,Atrasado,Fernanda Lima,9,6317.47,67.93
Cliente_83,Padaria Delícia,Educação,Pequeno,2023-10-28,2024-10-11,Folha de Pagamento,1550.31,Pendente,José Pereira,8,667.64,56.94
Cliente_94,Auto Peças Silva,Serviços,Grande,2022-06-08,2025-05-11,Imposto de Renda PJ,14486.45,Pendente,Roberto Alves,9,5746.65,60.33
Cliente_32,Serralheria Metal,Serviços,Grande,2021-09-03,2022-02-27,Consultoria Tributária,17747.93,Atrasado,José Pereira,9,6292.56,64.54
Cliente_28,Borracharia Pneus,Agronegócio,Médio,2022-12-19,2023-12-17,Demonstrativo de Resultado,3360.28,Atrasado,Fernanda Lima,8,1094.39,67.43
Cliente_93,Construbem,Serviços,Médio,2020-12-31,2023-04-12,Planejamento Tributário,5388.88,Atrasado,Fernanda Lima,9,1974.91,63.35
Cliente_89,Incorporadora Empreendimentos,Tecnologia,Pequeno,2022-07-31,2023-12-11,Consultoria Tributária,2608.55,Pago,Roberto Alves,9,1057.88,59.45
Cliente_59,Salão Beleza Total,Tecnologia,Médio,2021-03-21,2022-09-26,Consultoria Tributária,3928.05,Pendente,Ana Silva,8,1404.13,64.25
Cliente_95,Joalheria Brilhante,Alimentação,Grande,2022-11-13,2024-03-22,Consultoria Tributária,17643.01,Atrasado,Carlos Oliveira,8,7203.01,59.17
Cliente_39,Lavanderia Express,Transporte,Grande,2023-11-13,2023-11-27,Escrituração Contábil,13410.25,Atrasado,José Pereira,10,4435.79,66.92
Cliente_2,Papelaria Escolar,Indústria,Grande,2020-07-28,2023-10-16,Consultoria Tributária,11213.27,Pago,Carlos Oliveira,10,3747.77,66.58
Cliente_9,Borracharia Pneus,Serviços,Médio,2021-12-05,2024-03-04,Planejamento Tributário,6869.51,Atrasado,Fernanda Lima,8,2304.96,66.45
Cliente_98,Ateliê Costura,Alimentação,Pequeno,2023-09-22,2024-11-21,Análise Financeira,2177.34,Pago,Roberto Alves,9,1215.06,44.2
Cliente_55,Floricultura Jardim,Indústria,Médio,2022-09-21,2023-07-30,Análise Financeira,6674.64,Atrasado,Pedro Martins,7,2316.88,65.29
Cliente_23,Oficina Mecânica Rápida,Tecnologia,Grande,2023-02-23,2024-09-10,Contabilidade Fiscal,11822.14,Atrasado,Fernanda Lima,9,6039.89,48.91
Cliente_59,Salão Beleza Total,Tecnologia,Médio,2021-03-21,2021-08-13,Imposto de Renda PJ,3981.37,Atrasado,Ana Silva,7,1844.84,53.66
Cliente_83,Padaria Delícia,Educação,Pequeno,2023-10-28,2024-03-28,Consultoria Tributária,3011.4,Atrasado,José Pereira,9,1300.16,56.83
Cliente_60,SPA Relaxamento,Entretenimento,Grande,2020-05-04,2024-03-14,Consultoria Tributária,17986.15,Atrasado,Roberto Alves,10,9359.28,47.96
Cliente_78,Autoescola Direção,Comércio Varejista,Pequeno,2021-11-14,2023-04-10,Folha de Pagamento,517.26,Pago,Maria Santos,9,244.6,52.71
Cliente_98,Ateliê Costura,Alimentação,Pequeno,2023-09-22,2024-03-19,Planejamento Tributário,2670.47,Pendente,Roberto Alves,7,1177.69,55.9
Cliente_53,Sorveteria Gelada,Serviços,Médio,2023-02-01,2024-01-08,Auditoria,9500.68,Pendente,Carlos Oliveira,7,4146.55,56.36
Cliente_41,Centro Automotivo,Transporte,Médio,2020-09-04,2022-02-02,Auditoria,9196.46,Pendente,José Pereira,10,3899.06,57.6
Cliente_25,Papelaria Escolar,Indústria,Grande,2022-10-07,2024-03-20,Auditoria,17151.22,Atrasado,Carlos Oliveira,9,7399.63,56.86
Cliente_90,Pizzaria Delícia,Tecnologia,Pequeno,2020-02-18,2022-11-06,Contabilidade Fiscal,566.1,Atrasado,José Pereira,10,185.66,67.2
